title,score,episode,aired,user
Fullmetal Alchemist: Brotherhood,9.10,TV (64 eps),Apr 2009 - Jul 2010,"3,203,554 members"
Steins;Gate,9.07,TV (24 eps),Apr 2011 - Sep 2011,"2,461,811 members"
Bleach: Sennen Kessen-hen,9.06,TV (13 eps),Oct 2022 - Dec 2022,"463,851 members"
Gintama°,9.06,TV (51 eps),Apr 2015 - Mar 2016,"601,875 members"
Shingeki no Kyojin Season 3 Part 2,9.05,TV (10 eps),Apr 2019 - Jul 2019,"2,131,225 members"
Shingeki no Kyojin: The Final Season - Kanketsu-hen,9.04,Special (2 eps),Mar 2023 - 2023,"460,249 members"
Gintama',9.04,TV (51 eps),Apr 2011 - Mar 2012,"531,110 members"
Gintama: The Final,9.04,Movie (1 eps),Jan 2021 - Jan 2021,"135,713 members"
Hunter x Hunter (2011),9.04,TV (148 eps),Oct 2011 - Sep 2014,"2,685,156 members"
Kaguya-sama wa Kokurasetai: Ultra Romantic,9.04,TV (13 eps),Apr 2022 - Jun 2022,"841,314 members"
Gintama': Enchousen,9.03,TV (13 eps),Oct 2012 - Mar 2013,"311,956 members"
Ginga Eiyuu Densetsu,9.02,OVA (110 eps),Jan 1988 - Mar 1997,"307,713 members"
Fruits Basket: The Final,9.00,TV (13 eps),Apr 2021 - Jun 2021,"439,457 members"
Gintama.,8.98,TV (12 eps),Jan 2017 - Mar 2017,"300,702 members"
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.95,TV (13 eps),Jul 2023 -,"156,893 members"
Gintama,8.94,TV (201 eps),Apr 2006 - Mar 2010,"1,030,385 members"
Koe no Katachi,8.94,Movie (1 eps),Sep 2016 - Sep 2016,"2,216,175 members"
3-gatsu no Lion 2nd Season,8.93,TV (22 eps),Oct 2017 - Mar 2018,"386,730 members"
Clannad: After Story,8.93,TV (24 eps),Oct 2008 - Mar 2009,"1,157,029 members"
Code Geass: Hangyaku no Lelouch R2,8.91,TV (25 eps),Apr 2008 - Sep 2008,"1,713,009 members"
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.91,Movie (1 eps),Jul 2013 - Jul 2013,"231,342 members"
Violet Evergarden Movie,8.89,Movie (1 eps),Sep 2020 - Sep 2020,"558,458 members"
Owarimonogatari 2nd Season,8.88,TV (7 eps),Aug 2017 - Aug 2017,"383,536 members"
